start,end,min
4/16/14 14:11,4/16/14 12:57,74
4/17/14 10:28,4/16/14 11:44,1364
4/17/14 10:25,4/16/14 18:42,942
4/17/14 10:22,4/16/14 17:58,984
4/17/14 10:33,4/16/14 16:19,1094
4/17/14 9:55,4/16/14 11:56,1319
4/16/14 14:23,4/16/14 9:44,279
4/17/14 9:58,4/16/14 15:49,1089
4/17/14 10:14,4/16/14 15:27,1127
4/17/14 10:07,4/16/14 15:07,1140
4/16/14 14:19,4/16/14 10:39,219
5/1/14 10:01,4/30/14 15:23,1118
4/16/14 13:29,4/16/14 13:37,-8
4/17/14 10:02,4/16/14 14:07,1195
4/17/14 10:05,4/16/14 8:43,1521
4/17/14 10:12,4/16/14 15:43,1108
4/30/14 15:09,4/30/14 14:30,39
4/30/14 15:17,4/30/14 10:00,317
4/30/14 15:20,4/30/14 12:30,170
4/30/14 15:12,4/30/14 11:21,231
4/30/14 15:03,4/30/14 11:37,206
4/16/14 14:21,4/16/14 12:39,102
4/30/14 10:43,4/30/14 9:47,56
4/30/14 11:25,4/30/14 9:22,123
4/30/14 11:21,4/30/14 9:00,141
4/30/14 11:14,4/29/14 18:42,992
4/30/14 10:40,4/29/14 17:42,1018
4/30/14 10:54,4/29/14 16:45,1089
4/30/14 9:17,4/29/14 15:57,1040
4/30/14 11:12,4/29/14 16:21,1131
4/30/14 11:10,4/29/14 15:26,1184
4/30/14 11:28,4/29/14 14:21,1267
4/30/14 11:02,4/29/14 14:09,1253
4/29/14 13:46,4/29/14 13:17,29
4/30/14 14:59,4/30/14 12:24,155
4/16/14 14:15,4/16/14 9:43,272
4/16/14 14:28,4/15/14 18:23,1205
4/16/14 14:05,4/16/14 11:19,165
4/15/14 11:49,4/15/14 9:34,135
5/1/14 10:14,4/30/14 15:21,1133
5/1/14 10:18,4/30/14 17:06,1032
4/15/14 11:28,4/15/14 9:53,95
4/16/14 13:38,4/15/14 10:26,1632
4/15/14 11:52,4/15/14 8:55,177
4/15/14 11:51,4/15/14 9:18,153
4/15/14 11:44,4/15/14 10:11,93
4/15/14 11:38,4/15/14 9:47,111
4/15/14 11:54,4/15/14 10:05,108
4/15/14 11:47,4/15/14 11:08,39
4/16/14 13:40,4/15/14 11:01,1599
4/15/14 11:55,4/15/14 10:50,65
4/15/14 11:24,4/15/14 11:12,12
4/15/14 11:41,4/15/14 11:25,16
4/16/14 13:42,4/15/14 12:27,1515
4/16/14 13:35,4/15/14 13:25,1450
4/16/14 12:59,4/16/14 11:43,76
4/16/14 13:24,4/15/14 13:32,1432
4/16/14 13:31,4/15/14 14:10,1401
4/16/14 13:21,4/15/14 14:53,1348
4/16/14 13:16,4/15/14 15:01,1335
4/16/14 12:49,4/15/14 15:19,1290
4/16/14 12:54,4/15/14 16:08,1246
4/16/14 13:14,4/15/14 15:41,1293
4/16/14 13:45,4/15/14 13:38,1447
4/16/14 13:11,4/15/14 16:26,1244
4/16/14 13:06,4/15/14 16:38,1228
4/16/14 13:02,4/15/14 17:25,1176
4/29/14 13:44,4/29/14 12:50,54
4/16/14 13:49,4/16/14 9:50,239
4/16/14 13:51,4/16/14 9:16,275
4/16/14 13:58,4/16/14 9:30,268
4/16/14 14:24,4/16/14 8:29,355
4/16/14 13:54,4/16/14 8:53,300
4/16/14 14:02,4/16/14 8:18,344
4/16/14 13:33,4/15/14 14:06,1407
4/29/14 13:58,4/29/14 11:15,163
4/24/14 11:18,4/23/14 14:00,1277
4/29/14 11:59,4/29/14 10:56,63
4/22/14 13:48,4/22/14 9:09,279
4/22/14 13:31,4/22/14 9:51,220
4/22/14 13:52,4/22/14 9:19,273
4/22/14 13:16,4/22/14 9:22,234
4/24/14 10:50,4/23/14 11:32,1398
4/24/14 11:12,4/23/14 11:52,1400
4/22/14 13:22,4/22/14 9:34,228
4/24/14 11:03,4/23/14 11:38,1405
4/24/14 11:05,4/23/14 10:54,1451
4/24/14 10:59,4/23/14 11:42,1397
4/24/14 11:09,4/23/14 11:00,1449
4/24/14 10:54,4/23/14 10:44,1450
4/24/14 11:15,4/23/14 9:48,1527
4/22/14 13:14,4/22/14 10:59,135
4/22/14 13:11,4/22/14 10:50,141
4/23/14 11:34,4/22/14 11:42,1432
4/23/14 10:51,4/23/14 9:34,77
4/23/14 11:11,4/23/14 9:14,116
4/23/14 11:14,4/23/14 8:52,142
4/23/14 10:56,4/22/14 18:39,977
4/23/14 11:00,4/22/14 12:49,1331
4/22/14 13:19,4/22/14 12:55,24
4/23/14 11:18,4/22/14 14:02,1276
4/23/14 11:02,4/22/14 15:39,1163
4/23/14 11:21,4/22/14 14:16,1265
4/23/14 11:27,4/22/14 9:20,1566
4/15/14 11:36,4/15/14 9:09,147
4/23/14 11:16,4/22/14 9:30,1545
4/23/14 10:48,4/22/14 10:13,1475
4/23/14 11:25,4/22/14 15:26,1199
4/23/14 11:05,4/22/14 13:24,1301
4/23/14 11:28,4/22/14 15:49,1179
4/23/14 11:08,4/22/14 15:30,1178
4/23/14 11:23,4/22/14 15:07,1216
4/23/14 11:26,4/22/14 14:26,1260
4/24/14 10:42,4/23/14 12:32,1330
4/29/14 11:53,4/29/14 9:09,164
4/23/14 10:41,4/22/14 8:29,1572
4/22/14 13:45,4/22/14 8:29,316
4/29/14 14:11,4/29/14 10:32,219
4/29/14 13:53,4/29/14 9:59,234
4/29/14 12:02,4/29/14 9:19,163
4/24/14 10:37,4/23/14 19:11,926
4/24/14 11:20,4/23/14 15:32,1188
4/23/14 11:29,4/22/14 14:13,1276
4/24/14 10:40,4/23/14 13:21,1279
4/24/14 11:22,4/23/14 13:01,1341
5/1/14 9:59,4/30/14 17:28,991
5/1/14 10:05,4/30/14 16:18,1066
5/1/14 10:09,4/30/14 15:47,1102
5/1/14 10:15,4/30/14 14:52,1162
4/30/14 15:08,4/30/14 13:48,80
4/30/14 15:25,4/30/14 11:06,259
4/30/14 15:10,4/30/14 13:08,122
4/30/14 15:05,4/30/14 11:35,210
4/30/14 15:22,4/30/14 11:35,227
4/29/14 13:49,4/29/14 9:20,269
4/30/14 15:14,4/30/14 10:39,275
4/30/14 11:19,4/30/14 8:20,179
4/30/14 10:49,4/29/14 18:15,994
4/30/14 10:51,4/29/14 17:39,1032
4/30/14 11:27,4/29/14 16:26,1141
4/30/14 9:18,4/29/14 15:31,1067
4/30/14 10:57,4/29/14 15:54,1143
4/30/14 11:05,4/29/14 14:40,1225
4/30/14 10:59,4/29/14 14:50,1209
4/30/14 11:31,4/29/14 14:26,1265
4/30/14 11:17,4/29/14 11:51,1406
4/29/14 14:09,4/29/14 12:37,92
4/29/14 13:42,4/29/14 11:43,119
4/29/14 14:05,4/29/14 11:00,185
4/29/14 14:12,4/29/14 8:59,313
4/29/14 11:55,4/29/14 10:56,59
4/29/14 12:05,4/29/14 10:36,89
4/22/14 13:53,4/22/14 7:39,374
4/30/14 11:24,4/30/14 9:57,87
4/15/14 11:33,4/15/14 9:15,137
5/1/14 9:53,4/30/14 18:08,945
4/10/14 9:00,4/9/14 20:38,742
4/10/14 9:08,4/9/14 14:43,1105
4/10/14 9:53,4/9/14 15:20,1113
4/10/14 9:31,4/9/14 15:53,1058
4/10/14 9:10,4/9/14 15:56,1034
4/10/14 10:01,4/9/14 17:11,1010
4/10/14 9:05,4/9/14 17:30,935
4/10/14 9:03,4/9/14 19:27,815
4/10/14 9:58,4/9/14 20:13,824
4/8/14 11:44,4/8/14 9:08,156
4/3/14 9:46,4/3/14 10:18,-32
4/3/14 10:30,4/3/14 9:30,59
4/3/14 10:52,4/3/14 9:18,94
4/3/14 10:34,4/2/14 17:57,997
4/3/14 10:48,4/2/14 17:32,1036
4/3/14 10:36,4/2/14 16:15,1101
4/3/14 10:45,4/2/14 15:50,1134
4/3/14 10:24,4/2/14 15:33,1131
4/3/14 10:39,4/2/14 14:58,1181
4/3/14 9:36,4/2/14 14:41,1134
4/3/14 10:38,4/2/14 14:23,1215
4/3/14 10:06,4/2/14 14:30,1176
4/3/14 9:40,4/2/14 14:24,1156
4/3/14 10:21,4/2/14 13:46,1235
4/3/14 9:32,4/2/14 13:33,1198
4/3/14 9:43,4/2/14 13:02,1241
4/3/14 10:50,4/2/14 13:16,1294
4/3/14 9:51,4/2/14 13:25,1225
4/3/14 10:00,4/2/14 13:09,1250
4/2/14 12:52,4/2/14 12:26,25
4/3/14 10:41,4/2/14 11:51,1370
4/3/14 9:56,4/2/14 12:13,1303
4/2/14 11:31,4/2/14 11:25,6
4/2/14 12:41,4/2/14 11:14,86
4/2/14 12:43,4/2/14 10:46,117
4/3/14 10:15,4/2/14 11:04,1390
4/10/14 9:55,4/9/14 15:03,1132
4/10/14 9:48,4/9/14 14:31,1157
4/10/14 10:07,4/9/14 14:14,1192
4/10/14 10:03,4/9/14 14:33,1170
4/8/14 11:41,4/8/14 8:39,181
4/8/14 11:39,4/8/14 10:12,86
4/8/14 11:55,4/8/14 10:20,94
4/8/14 11:51,4/8/14 10:33,78
4/8/14 11:56,4/8/14 11:31,25
4/8/14 11:54,4/8/14 11:39,14
4/8/14 11:58,4/8/14 9:14,164
4/8/14 11:46,4/8/14 9:29,137
4/8/14 14:08,4/8/14 12:41,87
4/8/14 14:10,4/8/14 13:48,22
4/8/14 14:26,4/8/14 11:57,149
4/8/14 14:34,4/8/14 13:32,61
4/8/14 14:33,4/8/14 13:57,35
4/9/14 11:46,4/8/14 15:07,1238
4/9/14 11:40,4/8/14 15:21,1219
4/9/14 11:27,4/8/14 15:33,1194
4/9/14 11:49,4/8/14 14:06,1303
4/3/14 10:43,4/2/14 10:39,1444
4/9/14 11:32,4/8/14 14:18,1273
4/9/14 11:11,4/8/14 15:59,1152
4/9/14 11:51,4/8/14 17:45,1085
4/9/14 11:06,4/8/14 17:59,1026
4/9/14 11:37,4/9/14 9:01,156
4/10/14 9:29,4/9/14 9:40,1429
4/10/14 8:58,4/9/14 10:27,1351
4/9/14 11:02,4/9/14 10:05,56
4/9/14 11:45,4/9/14 10:57,47
4/9/14 11:35,4/9/14 11:09,25
4/9/14 11:18,4/9/14 9:46,91
4/10/14 9:40,4/9/14 12:13,1286
4/10/14 9:59,4/9/14 11:12,1366
4/10/14 9:14,4/9/14 11:56,1278
4/10/14 9:44,4/9/14 10:15,1409
4/10/14 9:38,4/9/14 11:37,1320
4/10/14 9:34,4/9/14 12:08,1285
4/10/14 9:17,4/9/14 12:50,1226
4/9/14 11:23,4/8/14 15:50,1172
4/2/14 12:38,4/2/14 10:39,118
4/8/14 11:49,4/8/14 9:10,159
4/2/14 12:36,4/2/14 9:44,171
4/1/14 13:12,4/1/14 12:15,57
4/2/14 12:08,4/1/14 12:58,1389
4/2/14 12:29,4/1/14 13:21,1388
4/2/14 12:49,4/1/14 13:33,1396
4/2/14 12:46,4/1/14 13:57,1369
4/1/14 13:26,4/1/14 10:47,158
4/1/14 13:26,4/1/14 10:47,158
4/2/14 12:11,4/1/14 14:05,1326
4/2/14 12:00,4/1/14 14:28,1292
4/2/14 12:14,4/1/14 14:16,1318
4/2/14 12:44,4/2/14 10:29,135
4/2/14 11:54,4/1/14 11:32,1462
4/2/14 12:48,4/1/14 15:07,1300
4/2/14 11:50,4/1/14 15:39,1211
4/2/14 11:48,4/1/14 16:29,1158
4/2/14 11:43,4/1/14 17:53,1070
4/2/14 12:18,4/2/14 8:02,255
4/2/14 12:21,4/2/14 8:58,202
4/2/14 12:45,4/2/14 9:23,202
4/1/14 13:15,4/1/14 11:53,81
4/1/14 12:45,4/1/14 12:12,32
4/2/14 11:57,4/1/14 15:38,1219
4/1/14 13:18,4/1/14 9:41,217
4/3/14 10:12,4/2/14 9:58,1454
4/1/14 12:57,4/1/14 9:05,231
4/2/14 12:05,4/1/14 13:09,1376
4/1/14 12:59,4/1/14 10:04,175
4/1/14 13:01,4/1/14 10:37,143
4/1/14 12:53,4/1/14 10:05,167
4/2/14 11:36,4/2/14 9:43,113
4/1/14 12:50,4/1/14 9:42,188
4/1/14 12:55,4/1/14 8:24,271
4/1/14 13:05,4/1/14 10:19,165
4/1/14 13:23,4/1/14 10:36,166
4/1/14 13:20,4/1/14 9:27,233
4/2/14 12:33,4/2/14 9:43,170
4/1/14 13:09,4/1/14 9:45,204
4/1/14 13:17,4/1/14 11:21,116
