start,end,min
3/27/14 8:23,3/26/14 11:25,1258
3/27/14 8:26,3/26/14 10:45,1301
3/27/14 8:19,3/26/14 11:01,1278
3/27/14 8:25,3/26/14 11:48,1237
3/27/14 8:07,3/26/14 12:09,1198
3/14/14 17:35,3/13/14 17:08,1467
3/14/14 10:11,3/13/14 16:16,1075
3/13/14 15:33,3/13/14 14:10,83
3/28/14 16:20,3/28/14 12:54,206
3/27/14 7:56,3/26/14 11:37,1219
3/30/14 15:07,3/30/14 14:55,12
3/27/14 8:11,3/26/14 10:42,1289
3/26/14 10:19,3/26/14 8:37,102
3/27/14 8:16,3/26/14 10:55,1281
3/26/14 11:06,3/25/14 10:19,1487
3/26/14 10:56,3/25/14 14:04,1252
3/26/14 11:15,3/25/14 13:40,1295
3/26/14 10:33,3/25/14 13:53,1240
3/26/14 10:36,3/25/14 9:52,1484
3/26/14 10:44,3/25/14 14:07,1237
3/26/14 10:54,3/25/14 15:16,1178
3/26/14 11:11,3/25/14 15:25,1186
3/26/14 10:29,3/25/14 15:39,1130
3/30/14 15:13,3/30/14 14:26,47
3/27/14 7:53,3/26/14 12:27,1166
3/26/14 11:10,3/25/14 18:33,997
3/26/14 10:50,3/25/14 18:45,965
3/26/14 11:10,3/26/14 8:29,161
3/26/14 10:53,3/26/14 8:51,122
3/14/14 17:30,3/13/14 18:03,1407
3/26/14 11:14,3/26/14 10:05,69
3/26/14 10:21,3/26/14 8:58,83
3/30/14 15:08,3/30/14 14:04,64
3/26/14 11:13,3/26/14 8:22,171
3/26/14 10:26,3/25/14 14:47,1179
3/26/14 10:48,3/25/14 15:52,1136
3/27/14 8:26,3/26/14 13:53,1113
3/28/14 16:00,3/28/14 11:41,259
3/28/14 16:06,3/28/14 11:04,302
3/28/14 16:27,3/28/14 10:48,339
3/28/14 16:28,3/28/14 10:10,378
3/28/14 16:03,3/28/14 9:28,395
3/28/14 16:16,3/28/14 8:16,480
3/28/14 16:11,3/27/14 15:16,1495
3/27/14 16:15,3/27/14 15:15,60
3/27/14 16:00,3/27/14 12:34,206
3/27/14 16:12,3/27/14 12:03,249
4/1/14 8:54,3/31/14 17:13,941
3/26/14 11:12,3/25/14 12:35,1357
3/27/14 16:22,3/27/14 11:18,304
3/27/14 16:01,3/27/14 11:05,296
3/27/14 16:26,3/27/14 10:27,359
3/28/14 16:23,3/28/14 11:01,322
3/27/14 16:21,3/27/14 10:15,366
3/27/14 16:29,3/27/14 9:59,390
3/27/14 16:29,3/27/14 9:45,404
3/27/14 16:18,3/27/14 9:03,435
3/27/14 16:16,3/27/14 8:59,437
3/27/14 16:27,3/27/14 8:42,465
4/1/14 8:58,3/31/14 14:01,1137
3/27/14 7:58,3/26/14 13:38,1100
3/27/14 8:03,3/26/14 14:18,1065
3/27/14 8:00,3/26/14 14:15,1065
3/27/14 7:48,3/26/14 15:12,996
4/1/14 8:57,3/31/14 8:33,1464
3/28/14 16:12,3/28/14 13:07,185
3/27/14 7:50,3/26/14 14:05,1065
4/1/14 9:02,3/31/14 8:58,1444
4/1/14 9:03,3/31/14 11:16,1307
3/27/14 8:24,3/26/14 15:21,1023
3/27/14 8:14,3/26/14 16:00,974
3/27/14 7:45,3/26/14 16:24,921
4/1/14 9:01,3/31/14 12:06,1255
3/27/14 8:27,3/26/14 18:51,816
3/27/14 7:44,3/26/14 19:03,761
4/1/14 8:56,3/31/14 12:58,1198
3/27/14 7:41,3/26/14 19:44,717
3/27/14 7:39,3/26/14 20:30,669
4/1/14 8:59,3/31/14 14:12,1127
3/27/14 8:22,3/26/14 9:35,1367
3/13/14 15:07,3/13/14 11:38,209
3/13/14 7:59,3/12/14 12:14,1185
3/13/14 15:22,3/13/14 12:06,196
3/7/14 13:44,3/6/14 12:47,1497
3/6/14 16:19,3/6/14 12:38,221
3/6/14 15:40,3/6/14 13:45,115
3/6/14 16:34,3/6/14 14:29,125
3/6/14 16:28,3/6/14 15:02,86
3/6/14 16:42,3/6/14 15:34,68
3/6/14 16:50,3/6/14 16:14,36
3/30/14 13:01,3/30/14 11:20,101
3/30/14 12:51,3/30/14 11:07,104
3/30/14 12:22,3/30/14 10:35,107
3/7/14 10:32,3/6/14 17:51,1001
3/7/14 11:26,3/7/14 9:45,101
3/7/14 16:06,3/7/14 10:39,327
3/7/14 16:09,3/7/14 13:23,166
3/9/14 12:38,3/8/14 9:20,1638
3/9/14 12:33,3/9/14 8:22,251
3/10/14 8:13,3/9/14 14:44,1049
3/30/14 12:52,3/30/14 10:37,135
3/30/14 12:24,3/30/14 9:30,174
3/6/14 15:56,3/6/14 12:47,189
3/30/14 13:00,3/30/14 8:52,248
3/30/14 12:53,3/30/14 8:53,240
3/30/14 12:26,3/29/14 15:13,1273
3/30/14 12:48,3/29/14 14:59,1309
3/30/14 12:56,3/29/14 14:29,1347
3/30/14 12:47,3/29/14 14:24,1343
3/30/14 12:37,3/29/14 11:00,1537
3/11/14 8:14,3/10/14 12:36,1178
3/11/14 8:17,3/10/14 12:33,1184
3/28/14 16:26,3/28/14 14:15,131
3/28/14 16:18,3/28/14 14:28,110
3/30/14 12:39,3/29/14 9:50,1609
3/28/14 16:25,3/28/14 9:00,445
3/30/14 12:58,3/29/14 8:55,1683
3/30/14 12:40,3/29/14 10:31,1569
3/30/14 12:35,3/29/14 9:10,1645
3/30/14 12:43,3/29/14 11:34,1509
3/30/14 12:44,3/29/14 10:16,1588
3/30/14 12:28,3/29/14 11:00,1528
3/30/14 12:31,3/29/14 10:31,1560
3/30/14 12:49,3/30/14 9:06,223
3/13/14 15:23,3/13/14 12:06,197
3/6/14 16:31,3/6/14 11:27,304
3/6/14 16:56,3/6/14 9:51,425
3/13/14 15:25,3/13/14 11:19,246
3/30/14 15:11,3/30/14 13:50,81
3/30/14 15:10,3/30/14 13:41,89
3/13/14 15:05,3/13/14 10:37,268
3/13/14 14:59,3/13/14 9:18,341
3/13/14 14:57,3/13/14 10:07,290
3/13/14 15:35,3/13/14 9:39,356
3/13/14 7:41,3/12/14 19:07,754
3/13/14 7:43,3/12/14 17:15,868
3/13/14 7:50,3/12/14 15:20,990
3/13/14 7:54,3/12/14 15:45,969
3/13/14 8:18,3/12/14 11:37,1241
3/13/14 8:20,3/12/14 11:17,1263
3/13/14 7:58,3/12/14 13:55,1083
3/13/14 7:48,3/12/14 11:05,1243
3/12/14 10:26,3/12/14 9:00,86
3/28/14 16:30,3/28/14 9:15,435
3/13/14 8:20,3/12/14 8:46,1414
3/28/14 15:59,3/28/14 9:49,370
3/6/14 16:14,3/6/14 11:17,297
3/28/14 15:57,3/28/14 10:19,338
3/28/14 16:29,3/28/14 10:30,359
3/28/14 16:27,3/28/14 13:26,181
3/12/14 10:31,3/11/14 16:20,1091
3/12/14 10:37,3/11/14 15:27,1150
3/12/14 10:50,3/11/14 14:46,1204
3/6/14 16:01,3/6/14 8:05,476
3/12/14 10:49,3/11/14 13:39,1270
3/6/14 16:04,3/6/14 9:35,389
3/28/14 16:21,3/28/14 13:42,159
3/28/14 16:15,3/28/14 13:57,138
3/13/14 8:12,3/11/14 12:34,2618
3/13/14 8:15,3/11/14 13:17,2578
3/12/14 10:45,3/11/14 10:56,1429
3/11/14 8:15,3/10/14 13:45,1110
3/30/14 15:12,3/30/14 13:16,116
3/30/14 12:21,3/30/14 11:46,35
3/28/14 16:32,3/28/14 13:31,181
3/28/14 15:56,3/28/14 13:42,134
3/6/14 16:11,3/6/14 10:05,366
3/12/14 10:29,3/11/14 17:37,1012
3/28/14 16:09,3/28/14 10:27,342
3/23/14 12:42,3/22/14 15:19,1283
3/14/14 17:41,3/14/14 13:35,246
3/15/14 15:40,3/15/14 9:13,387
3/15/14 15:32,3/14/14 18:04,1288
3/14/14 17:48,3/14/14 18:20,-32
3/14/14 17:50,3/14/14 18:06,-16
3/14/14 17:45,3/14/14 16:37,68
3/14/14 17:01,3/14/14 16:32,29
3/14/14 17:02,3/14/14 16:46,16
3/14/14 17:12,3/14/14 14:08,184
3/14/14 17:09,3/14/14 14:27,162
3/15/14 15:34,3/15/14 9:32,362
3/14/14 17:08,3/14/14 13:55,193
3/6/14 16:48,3/6/14 11:20,328
3/14/14 17:38,3/14/14 13:22,256
3/14/14 17:15,3/14/14 12:21,294
3/14/14 17:16,3/14/14 12:12,304
3/14/14 17:14,3/14/14 13:36,218
3/14/14 17:03,3/14/14 13:14,229
3/14/14 17:37,3/14/14 12:03,334
3/14/14 17:18,3/14/14 11:42,336
3/14/14 17:20,3/14/14 11:02,378
3/4/14 9:25,3/3/14 15:10,1095
3/15/14 15:28,3/15/14 9:19,369
3/15/14 15:31,3/15/14 8:38,413
3/15/14 15:27,3/15/14 10:53,274
3/17/14 7:42,3/16/14 15:33,969
3/9/14 12:36,3/8/14 15:42,1254
3/17/14 7:39,3/16/14 14:58,1001
3/17/14 7:29,3/16/14 13:42,1067
3/17/14 7:30,3/16/14 14:22,1028
3/16/14 12:40,3/16/14 12:48,-8
3/16/14 12:51,3/16/14 11:09,102
3/16/14 12:43,3/16/14 11:25,78
3/16/14 12:47,3/16/14 10:33,134
3/16/14 12:51,3/16/14 8:49,242
3/16/14 12:45,3/16/14 9:44,181
3/6/14 16:54,3/6/14 10:45,369
3/15/14 15:14,3/15/14 14:31,43
3/15/14 15:36,3/15/14 13:55,101
3/18/14 9:23,3/15/14 13:37,4066
3/15/14 15:38,3/15/14 13:37,121
3/15/14 15:39,3/15/14 13:21,138
3/15/14 15:15,3/15/14 14:13,62
3/15/14 15:18,3/15/14 13:10,128
3/15/14 15:23,3/15/14 10:51,272
