start,end,min
3/19/14 14:16,3/19/14 12:38,98
3/19/14 11:52,3/19/14 9:38,134
3/19/14 11:13,3/19/14 11:21,-8
3/19/14 11:53,3/19/14 11:21,32
3/20/14 9:26,3/19/14 11:47,1299
3/19/14 14:33,3/19/14 10:49,224
3/19/14 14:38,3/19/14 13:14,84
3/19/14 14:41,3/19/14 13:58,43
3/19/14 14:45,3/19/14 14:10,35
3/20/14 9:50,3/19/14 13:33,1217
3/20/14 9:37,3/19/14 16:43,1014
3/19/14 14:55,3/19/14 9:05,350
3/20/14 9:58,3/19/14 14:09,1189
3/20/14 9:34,3/19/14 14:45,1129
3/20/14 9:52,3/19/14 15:22,1110
3/20/14 9:55,3/19/14 15:25,1110
3/20/14 9:54,3/19/14 16:56,1018
3/20/14 9:46,3/19/14 17:20,986
3/20/14 9:42,3/19/14 17:34,968
3/20/14 9:21,3/19/14 18:13,908
3/20/14 9:56,3/19/14 19:27,869
3/20/14 9:31,3/19/14 19:41,830
3/19/14 14:48,3/19/14 14:09,39
3/20/14 9:56,3/19/14 16:20,1056
3/6/14 10:26,3/5/14 19:09,917
3/6/14 10:51,3/5/14 16:10,1121
3/25/14 11:34,3/25/14 8:20,194
3/25/14 11:14,3/25/14 8:54,140
3/25/14 11:18,3/25/14 9:12,126
3/25/14 11:24,3/25/14 9:54,90
3/25/14 11:20,3/25/14 10:38,42
3/6/14 11:05,3/5/14 13:46,1279
3/25/14 11:28,3/25/14 10:49,39
3/25/14 11:10,3/25/14 11:16,-6
3/6/14 10:38,3/5/14 12:29,1329
3/5/14 13:09,3/5/14 12:31,38
3/6/14 11:15,3/5/14 11:25,1430
3/6/14 11:20,3/5/14 10:39,1481
3/25/14 11:36,3/25/14 9:48,108
3/5/14 13:16,3/5/14 10:15,181
3/6/14 11:19,3/5/14 9:32,1547
3/5/14 14:03,3/5/14 9:22,281
3/5/14 14:02,3/5/14 8:38,324
3/5/14 13:22,3/4/14 18:47,1115
3/5/14 13:25,3/4/14 16:35,1250
3/5/14 13:30,3/4/14 15:09,1341
3/4/14 13:28,3/4/14 8:15,313
3/4/14 13:40,3/4/14 8:21,319
3/4/14 13:38,3/4/14 9:39,239
3/4/14 13:19,3/4/14 10:20,179
3/4/14 13:36,3/4/14 9:55,221
3/4/14 13:42,3/4/14 11:19,143
3/6/14 10:44,3/5/14 9:55,1489
3/4/14 13:41,3/4/14 9:38,243
3/4/14 13:30,3/4/14 11:37,113
3/6/14 11:10,3/5/14 13:15,1315
3/19/14 11:56,3/19/14 9:24,152
3/6/14 10:32,3/5/14 17:18,1034
3/6/14 11:17,3/5/14 15:56,1161
3/6/14 10:53,3/5/14 15:51,1142
3/6/14 10:49,3/5/14 15:37,1152
3/6/14 10:55,3/5/14 15:20,1175
3/6/14 11:18,3/5/14 14:07,1271
3/6/14 10:57,3/5/14 14:32,1225
3/6/14 11:01,3/5/14 14:09,1252
3/25/14 11:30,3/24/14 11:00,1470
3/6/14 10:39,3/5/14 14:35,1204
3/6/14 11:16,3/5/14 13:52,1284
3/6/14 11:22,3/5/14 12:12,1390
3/5/14 13:13,3/5/14 11:45,88
3/6/14 10:35,3/5/14 11:11,1404
3/5/14 14:01,3/5/14 11:24,157
3/5/14 13:59,3/5/14 10:39,200
3/5/14 13:57,3/5/14 9:40,257
3/5/14 13:44,3/5/14 10:08,216
3/5/14 13:55,3/5/14 9:37,258
3/5/14 13:47,3/5/14 9:05,282
3/6/14 11:13,3/5/14 13:04,1329
3/5/14 13:42,3/5/14 8:24,318
3/5/14 14:04,3/4/14 17:54,1210
3/5/14 13:37,3/4/14 14:01,1416
3/5/14 13:34,3/4/14 15:19,1335
3/4/14 13:16,3/4/14 12:26,50
3/6/14 10:21,3/5/14 19:37,884
3/19/14 11:17,3/19/14 10:23,54
3/18/14 11:12,3/18/14 9:34,98
3/19/14 14:28,3/19/14 9:37,291
3/19/14 11:46,3/18/14 10:27,1519
3/19/14 11:36,3/18/14 9:42,1554
3/19/14 11:55,3/19/14 10:11,104
3/18/14 14:41,3/18/14 11:22,199
3/19/14 11:59,3/18/14 11:08,1491
3/11/14 11:56,3/11/14 11:04,52
3/18/14 10:58,3/18/14 10:59,-1
3/11/14 11:15,3/11/14 11:33,-18
3/18/14 10:56,3/18/14 10:40,16
3/11/14 11:43,3/11/14 10:37,66
3/18/14 11:31,3/18/14 10:27,64
3/18/14 11:29,3/18/14 11:08,21
3/11/14 12:00,3/11/14 9:23,157
3/18/14 10:52,3/18/14 10:20,32
3/18/14 11:03,3/18/14 10:00,63
3/5/14 13:20,3/4/14 11:59,1521
3/18/14 11:20,3/18/14 9:23,117
3/11/14 11:51,3/11/14 9:07,164
3/18/14 11:17,3/18/14 8:17,180
3/18/14 14:20,3/18/14 12:22,118
3/18/14 14:24,3/18/14 13:22,62
3/19/14 11:20,3/18/14 8:04,1636
3/18/14 14:14,3/18/14 13:48,26
3/19/14 11:28,3/18/14 14:06,1282
3/11/14 11:26,3/11/14 11:20,6
3/11/14 11:21,3/11/14 10:31,50
3/11/14 11:55,3/11/14 11:18,37
3/19/14 11:24,3/19/14 7:57,207
3/19/14 14:20,3/18/14 17:44,1236
3/19/14 11:25,3/18/14 16:34,1131
3/19/14 11:57,3/18/14 15:37,1220
3/11/14 11:29,3/11/14 11:05,24
3/18/14 14:26,3/18/14 14:19,7
3/19/14 11:39,3/18/14 15:23,1216
3/19/14 11:49,3/18/14 14:48,1261
3/19/14 11:33,3/18/14 13:18,1335
3/19/14 12:02,3/18/14 13:04,1378
3/18/14 14:37,3/18/14 14:31,6
3/11/14 11:46,3/11/14 9:57,109
