start,end,min
4/29/14 9:31,4/28/14 9:18,1453
4/4/14 10:03,4/3/14 14:41,1162
4/4/14 9:05,4/3/14 17:25,940
4/4/14 9:03,4/3/14 16:47,975
4/5/14 13:20,4/4/14 9:32,1667
4/4/14 10:05,4/4/14 9:12,52
4/7/14 7:17,4/6/14 13:27,1069
4/4/14 9:07,4/3/14 15:29,1057
4/3/14 14:40,4/3/14 15:03,-23
4/3/14 14:38,4/3/14 13:19,79
4/3/14 14:31,4/3/14 14:10,20
4/3/14 13:57,4/3/14 13:40,16
4/3/14 14:05,4/3/14 11:46,138
4/3/14 14:11,4/3/14 9:37,274
4/3/14 14:13,4/3/14 9:14,298
4/24/14 17:34,4/24/14 8:34,540
4/29/14 9:28,4/28/14 8:23,1505
4/4/14 10:06,4/4/14 10:12,-6
4/5/14 13:08,4/5/14 9:13,234
4/5/14 13:19,4/4/14 13:44,1414
4/5/14 13:16,4/4/14 15:45,1290
4/5/14 13:15,4/4/14 16:11,1263
4/5/14 13:12,4/4/14 17:27,1184
4/5/14 13:10,4/5/14 9:38,211
4/5/14 13:09,4/5/14 10:33,156
4/29/14 9:35,4/28/14 15:03,1112
4/29/14 9:36,4/28/14 15:56,1060
4/29/14 9:33,4/28/14 17:10,983
4/8/14 8:05,4/7/14 11:09,1255
4/8/14 8:04,4/7/14 10:23,1300
4/8/14 8:07,4/7/14 10:40,1287
4/7/14 7:18,4/6/14 8:40,1358
4/7/14 7:16,4/6/14 9:43,1293
4/7/14 7:20,4/6/14 10:22,1258
4/7/14 7:30,4/6/14 12:12,1158
4/8/14 8:03,4/7/14 10:23,1300
4/7/14 7:24,4/6/14 14:11,1032
4/7/14 7:19,4/6/14 12:26,1133
4/5/14 13:17,4/4/14 11:55,1521
4/24/14 17:47,4/24/14 8:51,535
4/24/14 17:50,4/24/14 9:47,483
4/3/14 14:43,4/3/14 9:02,341
4/27/14 10:20,4/26/14 13:39,1241
4/3/14 14:42,4/3/14 10:09,273
4/3/14 14:22,4/3/14 12:42,99
4/3/14 14:23,4/3/14 11:57,146
4/29/14 9:37,4/28/14 17:28,969
4/3/14 14:26,4/3/14 11:14,192
4/3/14 14:02,4/3/14 10:38,203
4/3/14 14:28,4/3/14 10:18,250
4/3/14 14:41,4/3/14 10:05,275
4/25/14 18:05,4/25/14 17:19,46
4/3/14 13:59,4/3/14 10:02,236
4/3/14 14:47,4/3/14 9:42,304
4/25/14 18:07,4/25/14 16:03,124
4/25/14 18:15,4/25/14 15:42,153
4/25/14 18:19,4/25/14 15:06,193
4/25/14 18:21,4/25/14 13:30,291
4/27/14 10:19,4/26/14 14:52,1167
4/25/14 18:06,4/25/14 11:56,370
4/25/14 12:03,4/25/14 11:36,27
4/25/14 11:51,4/25/14 10:38,73
4/25/14 11:47,4/25/14 10:40,67
4/25/14 12:04,4/25/14 9:08,176
4/25/14 11:40,4/25/14 9:08,152
4/25/14 11:38,4/25/14 8:10,208
4/24/14 17:27,4/24/14 16:40,47
4/24/14 17:45,4/24/14 16:28,77
4/24/14 17:30,4/24/14 15:36,113
4/24/14 17:52,4/24/14 14:31,201
4/24/14 17:50,4/24/14 12:22,328
4/24/14 17:17,4/24/14 11:37,340
4/24/14 17:42,4/24/14 11:29,373
4/24/14 17:23,4/24/14 10:12,431
4/24/14 17:41,4/24/14 10:15,446
4/24/14 17:36,4/24/14 9:09,507
4/25/14 18:04,4/25/14 11:56,368
4/24/14 17:39,4/24/14 10:25,434
4/3/14 14:19,4/3/14 10:48,211
4/27/14 10:32,4/27/14 9:34,58
4/3/14 14:14,4/3/14 11:32,161
4/24/14 17:20,4/24/14 11:08,371
4/24/14 17:43,4/24/14 12:20,323
4/24/14 17:44,4/24/14 14:30,194
4/24/14 17:25,4/24/14 14:53,152
4/24/14 17:33,4/24/14 16:01,92
4/28/14 10:04,4/27/14 15:42,1102
4/24/14 17:51,4/24/14 15:45,125
4/25/14 11:33,4/24/14 16:53,1120
4/25/14 11:36,4/25/14 8:37,179
4/25/14 11:44,4/25/14 9:54,109
4/25/14 11:52,4/25/14 10:24,87
4/25/14 18:12,4/25/14 13:57,255
4/25/14 12:00,4/25/14 11:01,59
4/25/14 18:14,4/25/14 13:49,265
4/25/14 18:10,4/25/14 15:22,168
4/27/14 10:27,4/26/14 16:24,1083
4/25/14 18:19,4/25/14 15:41,158
4/27/14 10:25,4/26/14 9:30,1495
4/27/14 10:22,4/26/14 13:30,1252
4/27/14 10:28,4/26/14 16:09,1099
4/27/14 10:30,4/27/14 9:21,69
4/27/14 13:09,4/27/14 9:13,236
4/27/14 13:02,4/27/14 11:01,121
4/27/14 13:03,4/27/14 11:06,117
4/28/14 10:09,4/27/14 13:02,1267
4/28/14 9:58,4/27/14 14:46,1152
4/28/14 10:07,4/27/14 14:16,1191
4/3/14 14:44,4/3/14 11:20,204
4/28/14 10:08,4/27/14 15:10,1138
4/28/14 10:03,4/27/14 14:53,1150
4/27/14 13:13,4/27/14 11:56,77
4/27/14 13:10,4/27/14 10:44,146
4/27/14 13:05,4/27/14 10:19,166
4/25/14 18:18,4/25/14 16:37,101
4/22/14 9:17,4/21/14 12:09,1268
1/10/14 17:51,4/1/14 13:09,-116358
4/10/14 17:49,4/10/14 10:30,439
4/14/14 8:53,4/13/14 11:53,1260
4/14/14 8:54,4/13/14 12:02,1252
4/10/14 17:37,4/10/14 9:43,473
4/10/14 17:44,4/10/14 9:42,482
4/10/14 17:59,4/10/14 9:25,514
4/14/14 8:55,4/13/14 10:58,1316
4/18/14 10:40,4/16/14 11:10,2850
4/17/14 16:32,4/17/14 9:09,443
4/17/14 15:43,4/17/14 7:21,502
4/17/14 15:48,4/17/14 9:47,361
4/15/14 8:28,4/14/14 9:19,1389
4/10/14 17:15,4/10/14 17:02,13
4/17/14 16:35,4/17/14 11:51,283
4/17/14 16:28,4/17/14 10:33,354
4/17/14 16:17,4/17/14 11:05,312
4/17/14 16:30,4/17/14 11:27,302
4/17/14 16:37,4/17/14 11:44,293
4/15/14 8:27,4/14/14 9:42,1365
4/17/14 16:15,4/17/14 13:19,175
4/17/14 16:06,4/17/14 14:16,110
4/17/14 16:35,4/17/14 13:48,166
4/17/14 16:01,4/17/14 14:01,120
4/17/14 15:52,4/17/14 14:06,105
4/10/14 17:25,4/10/14 15:33,112
4/15/14 8:29,4/14/14 9:30,1378
4/17/14 16:43,4/17/14 15:15,87
4/10/14 17:12,4/10/14 16:21,50
4/10/14 17:55,4/10/14 10:06,468
4/11/14 9:33,4/10/14 14:43,1129
4/10/14 18:05,4/10/14 14:43,201
4/10/14 17:17,4/10/14 14:59,138
4/10/14 18:02,4/10/14 14:37,205
4/10/14 18:04,4/10/14 15:11,172
4/10/14 17:30,4/10/14 14:56,153
4/10/14 17:59,4/10/14 14:39,200
4/10/14 17:31,4/10/14 14:02,208
4/10/14 17:34,4/10/14 13:21,252
4/14/14 8:50,4/13/14 15:13,1057
4/22/14 9:21,4/21/14 17:12,969
4/10/14 17:42,4/10/14 9:11,511
4/10/14 17:51,4/10/14 10:16,455
4/10/14 17:54,4/10/14 9:41,493
4/10/14 17:41,4/10/14 11:51,349
4/10/14 17:35,4/10/14 11:42,352
4/10/14 17:58,4/10/14 11:20,398
4/14/14 8:48,4/14/14 9:03,-15
4/14/14 8:51,4/13/14 14:45,1086
4/18/14 10:23,4/16/14 12:36,2747
4/10/14 18:00,4/10/14 10:36,443
4/10/14 17:55,4/10/14 11:12,403
4/10/14 17:51,4/10/14 15:48,123
4/14/14 8:58,4/14/14 9:03,-5
4/10/14 17:47,4/10/14 9:04,523
4/17/14 16:45,4/17/14 15:11,94
4/17/14 16:40,4/17/14 15:00,99
4/18/14 10:36,4/17/14 15:53,1123
4/18/14 17:43,4/18/14 15:38,125
4/18/14 17:40,4/18/14 15:22,138
4/17/14 16:08,4/17/14 15:15,52
4/20/14 14:02,4/18/14 18:51,2590
4/20/14 13:49,4/18/14 16:46,2702
4/20/14 14:05,4/18/14 17:01,2703
4/20/14 13:48,4/18/14 15:34,2774
4/20/14 14:00,4/18/14 15:50,2770
4/20/14 13:51,4/19/14 9:09,1722
4/21/14 9:16,4/20/14 9:47,1409
4/21/14 9:15,4/20/14 15:17,1078
4/15/14 8:30,4/14/14 10:45,1305
4/21/14 9:17,4/21/14 8:40,37
4/12/14 7:16,4/11/14 11:23,1193
4/15/14 8:26,4/14/14 10:36,1309
4/12/14 7:18,4/11/14 14:02,1036
4/22/14 9:18,4/21/14 11:33,1304
4/14/14 8:49,4/12/14 11:57,2692
4/12/14 7:19,4/11/14 13:56,1042
4/13/14 8:45,4/12/14 10:37,1328
4/12/14 7:21,4/11/14 18:21,780
4/18/14 17:51,4/18/14 9:37,493
4/18/14 17:59,4/18/14 9:23,516
4/20/14 13:54,4/18/14 18:00,2634
4/18/14 17:38,4/18/14 10:53,404
4/18/14 10:25,4/17/14 18:17,967
4/18/14 10:43,4/18/14 8:12,151
4/13/14 8:46,4/12/14 15:16,1050
4/18/14 10:49,4/18/14 9:05,104
4/18/14 10:47,4/18/14 8:34,133
4/18/14 12:01,4/18/14 9:44,137
4/18/14 11:59,4/18/14 10:07,111
4/18/14 17:45,4/18/14 13:16,269
4/18/14 11:57,4/18/14 10:25,92
4/18/14 11:54,4/18/14 10:51,63
4/18/14 17:37,4/18/14 11:49,348
4/10/14 17:19,4/10/14 16:03,75
4/18/14 17:35,4/18/14 12:59,276
4/18/14 18:01,4/18/14 11:44,377
4/18/14 17:53,4/18/14 14:17,216
4/18/14 17:55,4/18/14 12:35,320
4/18/14 17:56,4/18/14 11:30,385
4/18/14 18:05,4/18/14 14:24,220
4/18/14 17:44,4/18/14 10:47,416
4/18/14 17:34,4/18/14 9:50,463
4/18/14 17:58,4/18/14 11:07,411
